area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,hospital_distance_km,hospital_time_min,playground_distance_km,playground_time_min,kindergarten_distance_km,kindergarten_time_min,metro_distance_km,metro_time_min,busstop_distance_km,busstop_time_min,office_distance_km,office_time_min,school_distance_km,school_time_min,college_distance_km,college_time_min
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1717,3.0,3.0,99.0,13.0016,77.6246,4.98,2,2.28,3,3.97,8,4.48,6,0.51,1,2.46,43,2.92,11,7.67,13
Built-up  Area,Ready To Move,Mullur,3 BHK,Arora A,2099,3.0,2.0,95.0,12.9776,77.6006,1.94,11,1.83,1,1.83,4,6.42,14,1.76,4,14.78,25,4.74,12,7.54,22
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GrrvaGr,1100,2.0,2.0,58.0,12.9796,77.6026,2.97,13,0.88,3,0.68,10,3.69,11,0.66,7,4.68,27,2.23,5,7.85,26
Plot  Area,Ready To Move,Hegganahalli,1 Bedroom,GrrvaGr,1200,1.0,0.0,48.0,13.0166,77.6396,4.91,11,2.69,3,0.97,3,1.68,19,0.36,6,5.38,24,0.77,7,1.79,22
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,AMaveon,1465,2.0,1.0,45.87,12.9976,77.6206,2.18,3,1.01,3,3.19,6,0.95,7,0.2,5,1.03,24,3.45,3,4.37,32
Plot  Area,Ready To Move,Kothanur,1 Bedroom,GrrvaGr,1500,1.0,0.0,75.0,12.9826,77.6056,3.99,5,1.62,1,2.01,9,6.79,5,1.35,4,12.0,30,0.9,3,9.95,16
Plot  Area,Ready To Move,Prashanth Nagar,5 Bedroom,GrrvaGr,4050,4.0,1.0,600.0,13.0186,77.6416,4.71,11,0.22,9,0.61,8,4.26,19,1.46,1,14.8,27,1.63,11,7.14,29
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,2.0,1.0,90.0,13.0126,77.6356,1.09,10,2.54,7,0.31,8,7.06,14,0.97,4,2.26,13,4.28,13,6.02,24
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,GrrvaGr,1220,2.0,3.0,88.0,13.0026,77.6256,3.68,4,2.93,5,1.82,3,5.3,11,0.64,7,13.86,44,2.04,9,3.03,19
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1065,2.0,1.0,30.88,12.9876,77.6106,3.57,3,2.68,2,3.07,4,5.07,21,0.38,1,6.12,16,1.96,9,7.14,15
Built-up  Area,Ready To Move,Sultan Palaya,3 BHK,GrrvaGr,1765,3.0,3.0,80.0,12.9886,77.6116,2.07,13,1.28,9,0.92,7,4.11,18,0.55,5,2.84,19,1.35,10,8.93,31
Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1281,2.0,2.0,87.0,13.0136,77.6366,4.91,7,0.56,8,0.3,8,4.19,24,0.16,5,7.03,23,3.75,9,7.81,11
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,1210,2.0,2.0,25.0,12.9836,77.6066,4.36,9,0.98,2,3.87,5,3.62,13,1.75,4,11.16,42,1.84,6,8.47,29
Carpet  Area,Ready To Move,Kaggadasapura,2 BHK,AnaveEn,1215,2.0,3.0,43.0,12.9806,77.6036,4.97,10,2.76,8,0.69,6,0.78,12,0.14,5,12.05,11,3.84,6,1.24,27
Plot  Area,Ready To Move,Ananth Nagar,4 Bedroom,GrrvaGr,1200,3.0,1.0,87.0,12.9956,77.6186,2.84,2,2.92,2,0.94,5,5.51,19,0.35,4,2.24,24,3.03,13,3.39,20
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,SaodySa,1237,2.0,2.0,73.0,12.9936,77.6166,1.27,10,0.27,8,2.71,3,5.17,21,1.13,6,14.45,29,1.61,8,9.53,28
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,Oaeze B,1300,2.0,1.0,70.0,12.9816,77.6046,1.54,6,0.48,3,1.75,3,3.46,24,0.11,4,2.08,16,2.15,8,8.57,21
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1105,2.0,2.0,39.99,13.0206,77.6436,4.0,12,2.48,2,3.72,10,3.58,7,1.65,2,6.65,15,3.69,5,1.25,28
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1505,2.0,2.0,42.0,12.9986,77.6216,1.94,9,0.6,5,3.77,8,5.96,10,0.18,1,13.68,11,3.61,7,2.6,15
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,GonumPl,3900,5.0,2.0,310.0,12.9736,77.5966,1.23,13,1.22,9,2.76,11,3.99,20,0.67,6,7.39,42,1.59,4,4.13,28
Built-up  Area,Ready To Move,Banashankari,2 BHK,Sksia A,1186,2.0,3.0,65.0,12.9746,77.5976,4.63,9,0.21,3,1.85,10,4.05,16,0.9,1,14.04,31,3.56,8,8.46,12
Plot  Area,Ready To Move,Byrathi Village,4 Bedroom,GrrvaGr,900,3.0,1.0,51.0,13.0146,77.6376,1.84,14,0.7,2,0.82,6,7.42,10,1.83,4,9.57,27,1.88,9,1.5,26
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,35.5,12.9976,77.6206,0.59,8,0.61,7,0.54,9,1.46,15,0.34,6,6.2,43,4.95,11,7.02,21
Built-up  Area,Ready To Move,Varthur,2 BHK,SLncyaj,1083,2.0,2.0,28.0,12.9746,77.5976,2.92,5,2.47,6,2.81,4,2.41,19,1.3,7,14.83,41,3.35,10,3.18,33
Built-up  Area,Ready To Move,Nagaraja Garden,3 BHK,GrrvaGr,1430,2.0,1.0,78.65,13.0126,77.6356,2.84,4,0.27,2,0.26,3,4.67,23,1.61,6,8.93,17,1.55,9,8.1,22
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,68.0,12.9746,77.5976,2.23,3,1.83,4,2.56,9,4.64,11,1.1,4,12.0,31,0.43,5,4.48,30
Super built-up  Area,Ready To Move,VGP Layout,3 BHK,AbnceEs,2108,3.0,3.0,85.0,13.0206,77.6436,2.34,8,1.79,1,2.26,11,4.54,23,0.7,7,10.6,44,1.31,14,2.56,25
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1650,3.0,2.0,101.0,12.9746,77.5976,1.25,13,2.85,6,1.6,7,2.24,12,1.15,5,8.67,28,4.04,6,4.15,10
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,36.6,12.9876,77.6106,1.62,6,0.39,1,0.46,6,5.28,8,0.88,5,11.15,16,1.32,4,9.8,22
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,MJeusyl,1198,2.0,1.0,54.0,13.0136,77.6366,2.54,8,1.96,9,4.0,9,2.35,23,1.83,2,12.79,20,2.09,14,7.61,21
Super built-up  Area,Ready To Move,Ejipura,2 BHK,Prsichi,1190,2.0,1.0,70.0,12.9786,77.6016,4.87,5,2.3,7,2.95,3,6.77,7,0.75,2,8.39,39,3.33,13,9.78,32
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",2 BHK,GrrvaGr,900,2.0,1.0,41.0,12.9896,77.6126,4.9,12,0.12,1,2.9,8,2.54,15,0.95,4,11.38,43,3.4,6,1.82,23
Super built-up  Area,19-Dec,J.P.nagar 6th Phase.Sarakki Nagar,4 BHK,GrrvaGr,2690,4.0,2.0,185.0,13.0046,77.6276,0.62,7,1.98,8,3.0,8,2.76,21,0.6,5,1.05,44,4.04,7,2.74,29
Built-up  Area,Ready To Move,Kanakapura,2 BHK,GrrvaGr,1340,2.0,2.0,65.0,12.9896,77.6126,4.55,5,0.43,4,3.12,8,6.88,22,1.77,1,6.78,33,1.76,12,3.87,33
Plot  Area,18-Sep,Bommenahalli,4 Bedroom,Prood G,2940,3.0,2.0,2250.0,13.0106,77.6336,2.31,3,1.93,1,0.44,7,5.35,8,0.84,1,10.52,17,1.0,13,6.11,32
Plot  Area,Ready To Move,Giri Nagar,6 Bedroom,GrrvaGr,2400,6.0,1.0,400.0,12.9756,77.5986,2.4,12,0.93,2,0.66,11,5.05,19,0.71,4,3.63,24,2.29,10,8.65,18
Plot  Area,Immediate Possession,Whitefield,2 BHK,SRniaGa,2324,2.0,2.0,26.73,13.0206,77.6436,1.92,2,0.42,3,2.34,4,1.03,10,1.87,7,5.13,25,4.8,3,9.12,30
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1260,2.0,2.0,59.2,13.0156,77.6386,4.42,14,1.42,7,1.24,10,7.79,5,1.39,6,1.36,43,2.66,6,5.12,12
Super built-up  Area,21-Feb,Talaghattapura,3 BHK,Sodgere,2254,3.0,2.0,153.0,13.0116,77.6346,2.39,11,1.91,4,3.52,10,5.12,10,1.04,6,5.3,43,3.72,7,1.58,31
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,5.0,1.0,210.0,12.9926,77.6156,0.23,14,1.02,5,3.88,4,7.79,20,1.89,6,2.06,40,4.74,7,2.16,26
Built-up  Area,Ready To Move,1st Block BEL Layout,4 Bedroom,GrrvaGr,1800,5.0,1.0,250.0,12.9906,77.6136,4.69,3,1.63,4,3.13,8,2.58,9,0.13,1,10.99,35,4.57,9,5.0,34
Built-up  Area,Ready To Move,JP Nagar,2 BHK,Adaveth,820,2.0,1.0,45.0,13.0136,77.6366,4.88,7,1.17,5,0.46,8,2.82,19,0.21,2,7.89,36,0.92,5,4.73,27
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Naireru,1296,2.0,2.0,65.0,12.9836,77.6066,2.28,10,2.82,6,2.0,3,2.51,9,0.98,3,14.67,29,2.92,12,1.93,20
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrrvaGr,1190,2.0,1.0,53.55,12.9906,77.6136,2.29,10,1.83,4,1.97,11,7.43,24,1.92,2,2.37,30,1.88,13,7.48,18
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,77.0,13.0206,77.6436,0.28,10,1.04,8,2.14,5,0.63,7,1.1,6,6.22,12,1.59,8,7.47,18
Plot  Area,16-Dec,Sarjapura - Attibele Road,3 Bedroom,GrrvaGr,1800,3.0,2.0,90.0,12.9876,77.6106,1.17,11,0.73,1,2.76,6,1.96,7,1.53,7,4.69,24,2.17,9,6.25,18
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1102,2.0,0.0,52.0,13.0156,77.6386,0.78,14,1.77,1,0.66,6,2.65,6,1.27,7,7.86,39,3.09,14,1.38,12
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,GrrvaGr,913,2.0,1.0,36.0,12.9736,77.5966,4.02,13,2.94,5,2.8,5,4.67,17,0.16,2,8.29,23,4.84,4,3.25,24
Super built-up  Area,18-Apr,Hormavu,3 BHK,GrrvaGr,1176,2.0,1.0,35.27,13.0126,77.6356,2.67,6,1.49,2,3.23,3,4.73,9,0.71,7,7.41,26,2.1,11,9.74,22
Built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Srllaan,1620,3.0,2.0,65.0,12.9806,77.6036,1.59,9,2.74,1,1.03,7,6.16,6,1.49,5,12.74,11,0.73,5,6.04,22
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,PuhtsHe,2968,3.0,2.0,225.0,12.9946,77.6176,4.64,9,1.64,5,1.91,9,4.16,16,1.15,6,5.64,27,0.7,14,3.29,19
Super built-up  Area,17-Dec,Yelahanka,2 BHK,Hotat H,1519,2.0,3.0,65.0,13.0156,77.6386,3.3,13,2.43,9,0.35,9,5.08,17,1.58,5,8.29,23,3.7,9,4.22,20
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Saageat,1345,2.0,2.0,106.0,13.0016,77.6246,4.7,3,1.81,8,0.48,6,1.08,13,0.48,6,12.12,17,3.35,9,1.29,26
Super built-up  Area,19-Dec,Dodsworth Layout,3 BHK,Prard B,1594,3.0,2.0,99.0,13.0016,77.6246,1.42,8,1.8,6,2.05,10,2.7,13,0.45,1,13.95,10,1.84,13,5.64,28
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,SLarkic,1250,2.0,1.0,68.0,13.0026,77.6256,4.36,3,1.32,6,3.31,11,4.6,14,1.05,6,14.87,19,2.87,3,7.3,30
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2.0,1.0,60.0,13.0126,77.6356,4.3,9,2.09,8,1.15,8,2.37,22,1.81,6,10.83,17,0.55,5,2.13,25
Plot  Area,18-Dec,Whitefield,3 Bedroom,GrrvaGr,1200,3.0,1.0,68.4,13.0206,77.6436,4.51,4,1.53,2,2.27,7,1.41,15,0.24,7,9.99,20,3.02,13,6.1,25
Plot  Area,Ready To Move,Kothnur Narayanapura,2 Bedroom,GrrvaGr,1290,1.0,0.0,77.5,13.0196,77.6426,4.12,9,2.55,5,0.57,4,3.34,7,1.92,4,8.95,16,4.4,13,3.73,12
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,GrrvaGr,1150,2.0,1.0,48.0,13.0076,77.6306,4.07,5,2.77,5,3.14,5,7.45,20,0.64,5,6.38,13,3.07,11,5.55,19
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1464,2.0,1.0,145.0,13.0046,77.6276,4.28,6,1.52,1,3.82,8,3.69,7,0.14,2,9.9,26,1.17,13,9.36,25
Plot  Area,Ready To Move,Anekal,4 Bedroom,GrrvaGr,1200,2.0,1.0,36.0,12.9806,77.6036,4.5,7,0.86,7,1.44,6,2.61,9,0.77,1,10.11,17,3.24,4,6.36,21
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,0.0,36.5,13.0126,77.6356,2.23,13,1.4,6,3.53,3,6.6,22,0.78,1,8.14,14,1.86,4,9.18,14
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2.0,1.0,82.62,12.9806,77.6036,1.25,2,2.14,9,0.48,10,1.5,13,0.44,4,11.08,40,4.12,8,5.96,14
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,GrrvaGr,1200,2.0,0.0,75.0,12.9916,77.6146,0.55,7,1.56,7,1.26,4,2.63,20,1.7,1,12.05,39,2.46,8,5.09,13
Plot  Area,Ready To Move,Kirloskar Layout,10 Bedroom,GrrvaGr,1200,10.0,2.0,190.0,12.9996,77.6226,1.52,11,1.25,5,2.16,7,2.8,15,1.85,4,2.7,27,3.74,3,2.9,14
Built-up  Area,Ready To Move,Hongasandra,2 BHK,GrrvaGr,1065,2.0,1.0,45.0,13.0136,77.6366,4.34,2,0.18,3,1.88,11,4.16,17,0.93,2,6.28,34,0.54,5,3.64,25
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2300,3.0,3.0,369.0,12.9766,77.5996,4.99,2,0.63,3,0.94,9,6.05,18,1.5,6,3.05,18,3.4,4,8.05,16
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,JSonyar,1000,2.0,1.0,62.0,13.0046,77.6276,2.23,7,2.54,8,3.28,11,6.11,8,0.61,3,4.24,26,3.76,11,7.83,19
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1682,3.0,1.0,113.0,12.9886,77.6116,2.45,10,2.32,2,0.89,5,1.21,21,0.74,7,12.96,32,3.56,7,7.08,17
Super built-up  Area,Ready To Move,Harlur,3 BHK,GrrvaGr,1756,3.0,2.0,131.0,12.9856,77.6086,2.08,13,0.34,5,1.27,9,5.49,15,0.96,5,1.95,40,4.54,10,1.36,23
Plot  Area,Ready To Move,BEL Road,5 Bedroom,GrrvaGr,4000,4.0,2.0,1000.0,13.0136,77.6366,2.84,11,0.41,7,1.04,10,4.97,24,0.81,5,8.97,34,2.89,3,9.48,14
Super built-up  Area,Ready To Move,Vignana Nagar,4 BHK,GrrvaGr,1050,4.0,2.0,90.0,12.9776,77.6006,2.49,6,2.81,4,0.53,7,5.13,8,1.81,4,13.85,29,4.61,13,4.61,20
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,GrrvaGr,1238,2.0,1.0,67.32,12.9906,77.6136,3.48,14,2.41,1,1.03,10,0.52,7,0.5,6,10.63,10,3.3,13,2.18,14
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,814,2.0,1.0,42.0,13.0046,77.6276,1.52,11,1.28,8,1.19,3,2.99,16,0.14,5,14.61,44,2.84,4,8.84,19
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,GSodsee,1145,2.0,1.0,46.5,13.0096,77.6326,2.13,10,2.92,1,1.0,4,7.08,7,0.49,6,10.16,44,1.1,9,9.42,12
Super built-up  Area,Ready To Move,Varthur,2 BHK,Maita R,965,2.0,1.0,34.0,12.9746,77.5976,2.13,5,2.92,9,0.22,10,4.52,23,1.78,4,14.99,17,1.8,10,4.46,33
Super built-up  Area,Ready To Move,Doddabele,2 BHK,GrrvaGr,750,2.0,1.0,36.0,12.9846,77.6076,1.73,8,2.99,9,2.92,3,5.42,9,0.96,3,14.98,33,3.0,9,2.77,28
Built-up  Area,Ready To Move,Banashankari,3 BHK,V2anags,1300,2.0,2.0,55.0,12.9746,77.5976,4.03,14,1.2,5,2.17,3,5.32,22,1.52,6,6.01,36,3.16,13,2.33,20
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,Inntsth,1590,3.0,3.0,131.0,12.9966,77.6196,2.79,3,1.65,2,2.22,5,6.79,11,1.55,4,4.21,43,4.3,13,8.82,34
Super built-up  Area,20-Aug,Begur Road,1 BHK,Pruthg ,644,1.0,1.0,40.0,12.9826,77.6056,2.89,13,1.99,3,2.16,5,3.4,8,0.47,5,9.21,40,2.38,4,3.09,24
Super built-up  Area,18-Mar,Whitefield,2 BHK,Pranthi,982,2.0,1.0,37.0,13.0206,77.6436,1.36,7,2.47,2,2.41,7,6.37,15,1.93,5,11.13,22,1.02,11,2.04,13
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,GrrvaGr,1260,2.0,2.0,100.0,13.0176,77.6406,2.24,8,0.66,6,1.48,10,2.96,9,1.39,3,12.8,11,2.77,5,4.8,23
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1555,3.0,2.0,75.17,13.0136,77.6366,1.85,11,1.05,5,2.69,5,3.87,5,1.13,4,1.33,37,0.82,9,9.76,31
Built-up  Area,Ready To Move,Race Course Road,4 Bedroom,GrrvaGr,2500,4.0,1.0,450.0,12.9726,77.5956,4.56,9,1.14,5,3.56,5,6.19,6,1.54,3,12.46,18,2.35,11,3.13,22
Super built-up  Area,18-Aug,Kaggadasapura,2 BHK,GrrvaGr,1225,2.0,2.0,48.0,12.9806,77.6036,0.38,8,2.52,1,0.78,9,5.74,16,0.16,1,8.43,43,2.58,6,9.39,16
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PisomSu,1085,2.0,1.0,46.0,13.0066,77.6296,1.04,8,1.49,8,3.27,11,6.52,12,1.29,2,2.76,22,1.48,11,8.86,11
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,220.0,12.9766,77.5996,3.37,3,1.78,7,3.83,3,1.55,13,1.6,3,7.91,38,0.98,4,8.09,33
Built-up  Area,18-Aug,Thanisandra,3 BHK,Bhmesy ,1595,3.0,1.0,110.0,12.9746,77.5976,3.1,6,2.37,7,1.27,4,3.16,10,1.46,4,6.77,38,0.35,8,9.32,18
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,40.44,12.9956,77.6186,3.63,13,1.95,6,1.69,9,6.32,6,0.62,4,1.07,11,0.35,14,3.84,32
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1859,3.0,1.0,108.0,13.0156,77.6386,0.42,14,2.75,8,1.05,4,2.07,23,1.18,5,14.01,24,2.91,14,8.13,30
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,Vasisvi,1079,2.0,1.0,60.0,12.9756,77.5986,4.44,12,0.55,1,3.86,4,5.82,14,1.85,5,5.84,23,2.88,14,3.68,28
Built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,GrrvaGr,550,1.0,1.0,27.0,12.9726,77.5956,4.67,9,1.47,7,0.98,11,7.38,22,1.94,7,10.51,35,4.86,8,8.1,34
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Satanan,1118,2.0,1.0,42.0,13.0206,77.6436,3.95,3,1.22,7,2.32,6,6.5,9,1.65,3,4.32,22,1.3,4,1.6,28
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Roareta,1198,2.0,2.0,60.0,12.9846,77.6076,1.04,4,2.47,6,3.47,7,1.23,17,1.41,3,10.02,34,1.4,3,8.43,17
Super built-up  Area,18-Jun,Chandapura,3 BHK,SuVue S,1100 - 1225,2.0,2.0,30.215,12.9986,77.6216,3.99,8,1.5,9,0.87,7,7.01,5,0.86,2,5.89,28,4.2,8,9.49,18
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830,4.0,2.0,135.0,12.9716,77.5946,1.72,3,2.77,5,3.43,5,6.79,14,0.13,3,2.58,10,4.94,10,2.81,21
Super built-up  Area,20-Oct,Banashankari Stage VI,2 BHK,Brens7 ,1160,2.0,1.0,59.0,13.0156,77.6386,0.93,9,0.91,5,0.87,10,7.85,18,1.75,2,6.98,13,2.23,5,2.8,13
Super built-up  Area,Ready To Move,Srirampuram,3 BHK,GrrvaGr,1485,2.0,1.0,156.0,12.9796,77.6026,0.59,7,0.81,9,2.04,4,1.05,18,1.49,2,13.66,11,0.86,7,7.7,13
Super built-up  Area,Ready To Move,Ejipura,3 BHK,Emsic C,2070,3.0,3.0,135.0,12.9786,77.6016,0.43,10,1.8,5,0.3,7,5.75,23,0.59,3,12.19,31,3.35,5,1.24,33
Plot  Area,Ready To Move,Basaveshwara Nagar,6 Bedroom,GrrvaGr,750,4.0,1.0,150.0,13.0166,77.6396,4.24,2,0.24,6,2.38,6,1.33,13,0.35,2,2.45,23,0.65,12,1.95,32
Built-up  Area,17-Mar,Kannamangala,2 BHK,VBownre,957,2.0,0.0,52.5,12.9736,77.5966,4.25,12,2.01,3,2.15,8,2.42,21,1.4,2,7.26,17,4.2,10,4.42,25
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,GrrvaGr,2400,4.0,1.0,310.0,13.0166,77.6396,0.36,4,2.32,6,2.91,10,7.58,18,1.57,2,1.68,25,1.96,10,1.29,16
Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,Uncioe ,1268,2.0,1.0,69.0,12.9976,77.6206,3.64,10,0.86,4,3.3,10,2.27,10,0.86,7,7.22,38,3.86,5,6.55,10
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1450,2.0,2.0,87.0,12.9976,77.6206,1.42,6,1.13,8,3.9,8,3.76,12,0.52,1,6.29,31,4.59,3,8.73,26
Built-up  Area,Ready To Move,Manorayana Palya,3 BHK,Bhncy V,1600,2.0,2.0,75.0,13.0066,77.6296,1.27,12,2.03,1,2.9,3,1.56,8,1.3,2,7.81,36,3.94,8,1.21,34
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,57.0,12.9906,77.6136,2.9,6,1.72,3,2.4,9,2.14,21,0.36,7,13.83,14,0.43,12,3.74,25
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Paurt C,1355,2.0,2.0,65.0,13.0056,77.6286,2.4,10,1.92,3,3.32,10,5.55,16,0.52,5,4.9,41,4.24,5,6.4,23
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,GrrvaGr,1272,2.0,2.0,51.5,12.9736,77.5966,1.11,7,1.72,3,3.3,7,5.14,23,1.08,7,12.39,33,1.57,11,3.86,15
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,SSaveik,1100,2.0,1.0,38.49,12.9926,77.6156,0.23,2,1.54,9,3.56,9,3.41,18,1.72,7,13.38,16,1.75,10,2.8,28
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,GrrvaGr,1220,3.0,2.0,58.0,13.0016,77.6246,1.75,2,0.19,7,3.53,7,1.12,5,1.24,1,7.89,10,2.35,14,5.83,33
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,GrrvaGr,1075,2.0,1.0,46.76,13.0106,77.6336,2.15,13,1.18,5,2.9,11,7.0,14,1.85,5,5.06,23,1.96,7,1.29,22
Super built-up  Area,Ready To Move,Lingarajapuram,2 BHK,GrrvaGr,800,2.0,1.0,55.0,12.9716,77.5946,2.48,8,1.85,7,2.88,9,5.4,17,1.81,2,8.43,14,3.01,14,8.39,26
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,GrrvaGr,995,2.0,1.0,34.82,13.0046,77.6276,2.16,12,2.42,1,1.15,4,3.86,6,0.33,7,10.27,40,4.84,11,2.05,20
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,2 BHK,Nentsan,900,1.0,1.0,44.0,12.9886,77.6116,2.03,2,2.6,1,0.37,5,3.64,18,0.72,7,10.4,25,3.03,14,3.01,24
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2.0,1.0,42.0,13.0126,77.6356,4.82,2,1.15,3,2.24,10,2.36,23,0.49,7,11.51,17,4.96,4,1.52,27
Super built-up  Area,Ready To Move,Ganga Nagar,3 BHK,GrrvaGr,1480,2.0,2.0,125.0,12.9796,77.6026,4.62,9,2.13,4,1.55,7,7.49,9,1.6,2,13.68,29,2.89,13,5.16,32
Super built-up  Area,18-May,Padmanabhanagar,3 BHK,GrrvaGr,1710,2.0,2.0,90.63,12.9736,77.5966,2.08,5,0.34,1,1.45,10,3.12,10,0.18,6,5.01,16,3.39,4,7.1,26
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,2106,3.0,3.0,148.0,13.0116,77.6346,4.72,7,1.15,9,2.02,10,1.92,15,1.85,1,7.99,27,0.43,6,7.19,10
Plot  Area,Ready To Move,Yeshwanthpur,9 Bedroom,GrrvaGr,2400,6.0,2.0,270.0,12.9876,77.6106,0.62,2,0.56,6,3.31,8,6.86,18,1.1,7,5.22,40,0.82,5,10.0,15
Plot  Area,Ready To Move,Sadahalli,3 Bedroom,K ensad,3800,2.0,2.0,130.0,12.9976,77.6206,0.26,10,1.46,8,2.88,3,4.22,19,0.66,4,8.47,33,0.78,5,7.6,14
Plot  Area,Ready To Move,Vajarahalli,3 Bedroom,GrrvaGr,800,3.0,2.0,120.0,12.9956,77.6186,1.79,8,1.96,8,0.99,7,1.99,5,1.49,1,3.46,41,2.05,11,3.98,15
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,RookaJh,1602,2.0,2.0,104.0,13.0086,77.6316,1.09,9,2.83,1,0.85,4,7.28,8,1.59,7,10.24,14,2.89,13,7.21,25
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,2.0,2.0,116.0,13.0016,77.6246,3.58,14,2.55,6,3.97,5,0.59,14,1.66,4,2.99,15,1.8,13,4.16,25
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SJmesst,1549,3.0,2.0,80.0,12.9876,77.6106,3.21,3,0.58,5,2.68,8,3.93,5,1.14,7,9.14,19,0.78,14,6.27,21
Super built-up  Area,19-Mar,Marathahalli,1 BHK,Unezes ,700,1.0,1.0,38.0,13.0086,77.6316,4.88,3,2.31,8,2.79,7,4.86,21,1.45,3,7.95,11,2.77,7,9.65,21
